ID,publication_date,extracted_url,best_common,best_common_prob,best_full,best_full_prob,best_name,best_name_prob,article_count
24178989,2013-10-31,http://www.hypoxiadb.com,HypoxiaDB,0.996842146,,0,HypoxiaDB,0.996842146,1
35731570,2022-06-01,http://www.hywanglab.cn/vcRNAdb,Viral-circRNA,0.84946836233139,,0,Viral-circRNA,0.849468362,1
38015957,2023-11-01,http://www.icazygfadb.org.cn,iCAZyGFADB,0.966474712,,0,iCAZyGFADB,0.9664747119,1
"29662024, 32679723",2020-07-15,http://www.icoa.fr/pkidb,PKIDB,0.987339139,Protein Kinase Inhibitor Database,0.97000488,PKIDB,0.987339139,2
"22067451, 24178034",2011-11-08,http://www.ideal.force.cs.is.nagoya-u.ac.jp/IDEAL,IDEAL,0.991460741,Intrinsically Disordered proteins with Extensive Annotations and Literature,0.993429282,Intrinsically Disordered proteins with Extensive Annotations and Literature,0.993429282,2
31524396,2019-09-25,http://www.idruglab.com/HybridMolDB/index.php,HybridMolDB,0.995581388,,0,HybridMolDB,0.995581388,1
"23734660, 33772585, 22681406",2021-03-01,http://www.iedb.org,IEDB,0.993056357,Immune Epitope Database and Analysis Resource,0.933946027,IEDB,0.993056357,3
34244719,2021-07-01,http://www.ieom-tm.com/tidb,TIDB,0.992214262,Trained Immunity DataBase,0.935802007,TIDB,0.992214262,1
31231133,2019-06-23,http://www.igb.cnr.it/ipgb,IPGB,0.957984984,Incontinentia Pigmenti Genetic Biobank,0.896460912,IPGB,0.957984984,1
27789704,2016-10-26,http://www.igenomed.org/keris,KERIS,0.998085916,,0,KERIS,0.998085916,1
28779078,2017-08-04,http://www.iictindia.org/A2MDB,A2MDB,0.993841752,Aspergillus Secondary Metabolites Database,0.987300144,A2MDB,0.993841752,1
22140112,2011-12-02,"http://www.iiserpune.ac.in, http://www.actrec.gov.in/histome",HIstome,0.995750725,,0,HIstome,0.995750725,1
