ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,publication_date,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url
26582920,iGNM,0.993238688,iGNM,0.993238688,,0,1,2015-11-17,http://gnmdb.csb.pitt.edu,200,US,"(40.4406,-79.9959)",http://web.archive.org/web/20230101052657/http://gnmdb.csb.pitt.edu/
"26586801, 23175603",HOCOMOCO,0.995230079,HOCOMOCO,0.995230079,Homo sapiens comprehensive model collection,0.977648824,2,2015-11-19,"http://hocomoco.autosome.ru, http://www.cbrc.kaust.edu.sa/hocomoco10","302, 302","NL, US","(52.3740,4.8897), (37.5331,-122.2486)","http://web.archive.org/web/20170829224406/http://hocomoco.autosome.ru:80/, http://web.archive.org/web/20170718144753/http://www.cbrc.kaust.edu.sa:80/hocomoco10/"
26631432,HDI,0.979960263,HDI,0.979960263,Human Disease Insight,0.578439275,1,2015-11-27,http://humandiseaseinsight.com,"HTTPConnectionPool(host='humandiseaseinsight.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7bb29f5432b0>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,http://web.archive.org/web/20180118041850/http://humandiseaseinsight.com/
26673694,GtRNAdb,0.991023004,GtRNAdb,0.991023004,Genomic,0.679828405,1,2015-12-15,http://gtrnadb.ucsc.edu,302,US,"(36.9741,-122.0308)",http://web.archive.org/web/20240627025436/https://gtrnadb.ucsc.edu/
26708988,HitPredict,0.99754715,HitPredict,0.99754715,,0,1,2015-12-26,http://hintdb.hgc.jp/htp,"HTTPConnectionPool(host='hintdb.hgc.jp', port=80): Max retries exceeded with url: /htp (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7bb29f59ff10>: Failed to establish a new connection: [Errno -2] Name or service not known'))",,,http://web.archive.org/web/20200226034942/http://hintdb.hgc.jp:80/htp/
26836976,dbAARD,0.983507156,dbAARD,0.983507156,database of Aging and Age Related Disorders,0.922870524,1,2016-02-02,"http://genomeinformatics.dce.edu/dbAARD/, http://genomeinformatics.dce.edu/AGP","HTTPConnectionPool(host='genomeinformatics.dce.edu', port=80): Max retries exceeded with url: /dbAARD/ (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7bb29f19c7f0>: Failed to establish a new connection: [Errno -2] Name or service not known')), HTTPConnectionPool(host='genomeinformatics.dce.edu', port=80): Max retries exceeded with url: /AGP (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7bb29f5eb2e0>: Failed to establish a new connection: [Errno -2] Name or service not known'))",", ",", ","no_wayback, no_wayback"
27113915,Hipposeq,0.914798081,Hipposeq,0.914798081,,0,1,2016-04-26,http://hipposeq.janelia.org,302,US,"(39.0570,-77.4441)",http://web.archive.org/web/20240514032906/https://hipposeq.janelia.org/
27242033,gEVE,0.957576275,gEVE,0.957576275,,0,1,2016-05-30,http://geve.med.u-tokai.ac.jp,200,JP,"(35.3993,139.3102)",http://web.archive.org/web/20240228170632/http://geve.med.u-tokai.ac.jp/
27242038,GESDB,0.99487108,GESDB,0.99487108,Genetic Epidemiology Simulation Database,0.805485106,1,2016-05-30,"http://gesdb.nhri.org.twDatabase, http://gesdb.nhri.org.tw","HTTPConnectionPool(host='gesdb.nhri.org.twdatabase', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7bb29f5d1970>: Failed to establish a new connection: [Errno -2] Name or service not known')), HTTPConnectionPool(host='gesdb.nhri.org.tw', port=80): Pool is closed.",", ",", ","no_wayback, no_wayback"
27504778,GNPS,0.987443785,GNPS,0.987443785,Global Natural Products Social Molecular Networking,0.953693228,1,2016-08-01,http://gnps.ucsd.edu,302,US,"(32.7157,-117.1647)",no_wayback
27742821,HieranoiDB,0.9942801,HieranoiDB,0.9942801,,0,1,2016-10-13,http://hieranoiDB.sbc.su.se,301,SE,"(59.3294,18.0687)",http://web.archive.org/web/20240305005015/https://hieranoidb.sbc.su.se/
27789686,GenomeCRISPR,0.993304312,GenomeCRISPR,0.993304312,,0,1,2016-10-26,http://genomecrispr.org,302,DE,"(52.5244,13.4105)",no_wayback
"27899668, 24275496",CyanoBase,0.946007907,CyanoBase,0.946007907,,0,2,2016-11-29,http://genome.microbedb.jp/cyanobase,"HTTPConnectionPool(host='genome.microbedb.jp', port=80): Pool is closed.",,,http://web.archive.org/web/20240119081935/http://genome.microbedb.jp/cyanobase/
27974320,Mammalian Metabolic Enzyme Database,0.845961971,,0,Mammalian Metabolic Enzyme Database,0.845961971,1,2016-12-14,"http://hpcwebapps.cit.nih.gov/ESBL/Database/MetabolicEnzymes/MetabolicEnzymeDatabase.html, http://hpcwebapps.cit.nih.gov/ESBL/Database/MetabolicEnzymes","301, 301","US, US","(38.9807,-77.1003), (38.9807,-77.1003)","http://web.archive.org/web/20240504030728/https://hpcwebapps.cit.nih.gov/ESBL/Database/MetabolicEnzymes/MetabolicEnzymeDatabase.html, no_wayback"
28090394,GExplore,0.892829657,GExplore,0.892829657,,0,1,2016-09-19,http://genome.sfu.ca/gexplore,301,CA,"(49.2664,-122.9526)",http://web.archive.org/web/20221017035647/http://genome.sfu.ca/gexplore/
28108447,miRmine,0.975829124,miRmine,0.975829124,,0,1,2017-05-01,http://guanlab.ccmb.med.umich.edu/mirmine,301,US,"(41.2619,-95.8608)",http://web.archive.org/web/20190922115557/http://guanlab.ccmb.med.umich.edu:80/mirmine/
28299908,DrugAge,0.997624516,DrugAge,0.997624516,,0,1,2017-03-16,http://genomics.senescence.info/drugs,301,US,"(42.4734,-83.2219)",http://web.archive.org/web/20240401043525/https://genomics.senescence.info/drugs/
28358052,HIVed,0.991903603,HIVed,0.991903603,database,0.602060437,1,2017-03-30,http://hivlatency.erc.monash.edu,301,US,"(37.5331,-122.2486)",no_wayback
28365718,VerSeDa,0.998133659,VerSeDa,0.998133659,vertebrate secretome database,0.940622234,1,2017-01-01,http://genomics.cicbiogune.es/VerSeDa/index.php,200,ES,"(43.3128,-1.9750)",http://web.archive.org/web/20221016235345/http://genomics.cicbiogune.es/VerSeDa/index.php
